ESTRATO_RIM,COD_ORIGEN,RIM,OAB
BACA_AC,038,T,F
BACA_APN,058,T,F
BACA_CN,008,T,T
BACA_CN,009,T,T
BACA_CN,010,T,T
BETA_CN,010,T,F
BETA_CN,008,T,F
BETA_CN,009,T,F
CERCO_CN,008,T,F
CERCO_CN,010,T,F
CERCO_CN,009,T,F
CERCO_GC,011,T,T
ENMALLE_AC,038,T,F
JURELERA_CN,010,T,T
JURELERA_CN,008,T,T
JURELERA_CN,009,T,T
LIN_CABALLA,008,T,F
LIN_CALAMAR,008,T,F
MERLUCER_AC,002,T,F
NASA_NECORA,008,T,F
NASAPULP_CN,010,T,F
NASAPULP_CN,009,T,F
NASAPULP_CN,008,T,F
PALANGRE_AC,002,T,F
PALANGRE_AC,038,T,F
PALANGRE_CN,008,T,F
PALANGRE_CN,009,T,F
PALANGRE_CN,010,T,F
PAREJA_CN,010,T,T
PAREJA_CN,009,T,T
PAREJA_CN,008,T,T
RAPANTER_AC,002,T,F
RASCO_CN,008,T,T
RASCO_CN,009,T,F
SABLE_GC,011,T,F
TRASMALL_CN,008,T,F
VOLANTA_CN,010,T,T
VOLANTA_CN,008,T,T
VOLANTA_CN,009,T,T
VORACERA_GC,011,T,F
RAPANTER_AC,036,F,T
RAPANTER_AC,035,F,T
RAPANTER_AC,034,F,T
BACA_GC,011,T,T