METIER_DCF;CALADERO_DCF;UNIPESCOD;ORICOD
PS_SPF_0_0_0;Bay of Biscay (VIIIabde);CERCO_CN;007
OTB_MPD_>=55_0_0;Bay of Biscay (VIIIabde);JURELERA_CN;014
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;003
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;003
OTB_DEF_70-99_0_0;Celtic Sea (VIIfgh);RAPANTER_AC;033
OTB_DEF_70-99_0_0;Celtic Sea (VIIfgh);RAPANTER_AC;034
LLS_DEF_0_0_0;Western Ireland (VIIbcjk);PALANGRE_AC;031
GNS_DEF_120-219_0_0;Western Ireland (VIIbcjk);ENMALLE_AC;030
GNS_DEF_120-219_0_0;Western Ireland (VIIbcjk);ENMALLE_AC;031
GNS_DEF_120-219_0_0;Western Ireland (VIIbcjk);ENMALLE_AC;036
GNS_DEF_120-219_0_0;Western Ireland (VIIbcjk);ENMALLE_AC;035
LLS_DEF_0_0_0;Western Ireland (VIIbcjk);PALANGRE_AC;030
LLS_DEF_0_0_0;Western Ireland (VIIbcjk);PALANGRE_AC;036
LLS_DEF_0_0_0;Western Ireland (VIIbcjk);PALANGRE_AC;035
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_AP;012
OTB_DEF_70-99_0_0;Western Ireland (VIIbcjk);RAPANTER_AC;030
OTB_DEF_70-99_0_0;Western Ireland (VIIbcjk);RAPANTER_AC;031
OTB_DEF_70-99_0_0;Western Ireland (VIIbcjk);RAPANTER_AC;036
OTB_DEF_70-99_0_0;Western Ireland (VIIbcjk);RAPANTER_AC;035
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;030
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;031
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;036
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;035
DRB_MOL_0_0_0;Iberian (VIIIc-IX);DRAGA_CN;008
GNS_DEF_120-219_0_0;Western Ireland (VIIbcjk);ENMALLE_AC;002
FPO_CRU_0_0_0;Iberian (VIIIc-IX);NASA_NECORA;008
FPO_FIF_0_0_0;Iberian (VIIIc-IX);NASA_PECES;008
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_GC;011
LLS_DEF_0_0_0;Celtic Sea (VIIfgh)/Western Ireland (VIIbcjk);PALANGRE_AC;002
OTB_DEF_70-99_0_0;Celtic Sea (VIIfgh)/Western Ireland (VIIbcjk);RAPANTER_AC;002
OTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);BACA_AC;038
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;008
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;008
GNS_DEF_>=100_0_0;Iberian (VIIIc-IX);RASCO_CN;008
GNS_DEF_>=100_0_0;Bay of Biscay (VIIIabde);ENMALLE_AC;004
LLS_DEF_0_0_0;Bay of Biscay (VIIIabde);PALANGRE_AC;004
OTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);BACA_AC;004
PTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);PAREJA_AC;004
GTR_DEF_50-59_0_0;Iberian (VIIIc-IX);TRASMALL_GC;011
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_APN;058
HMD_MOL_0_0_0;Iberian (VIIIc-IX);DRAGA_GC;011
LHM_CEP_0_0_0;Iberian (VIIIc-IX);LIN_CALAMAR;008
LHM_DEF_0_0_0;Iberian (VIIIc-IX);LIN_MERLUZA;008
LHM_DWS_0_0_0;Iberian (VIIIc-IX);VORACERA_GC;011
LHM_SPF_0_0_0;Iberian (VIIIc-IX);LIN_CABALLA;008
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;008
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_GC;011
GNS_DEF_>=100_0_0;Bay of Biscay (VIIIabde);ENMALLE_AC;038
GNS_DEF_40-59_0_0;Iberian (VIIIc-IX);ENMALLE_GC;011
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;008
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;008
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;008
LLS_DWS_0_0_0;Iberian (VIIIc-IX);SABLE_GC;011
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;008
OTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);OTBAZTI8ABD;038
OTB_DEF_70-99_0_0;Western Scotland (VI);RAPANTER_AC;001
OTB_DEF_100-119_0_0;Western Scotland (VI);MERLUCER_AC;001
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;002
OTB_MCD_>=55_0_0;Iberian (VIIIc-IX);BACA_GC;011
OTB_MCF_>=70_0_0;Bay of Biscay (VIIIabde);OTBAZTI8ABD;038
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;008
OTB_MPD_>=70_0_0;Bay of Biscay (VIIIabde);OTBAZTI8ABD;038
OTB_SPF_>=70_0_0;Bay of Biscay (VIIIabde);OTBAZTI8ABD;038
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_GC;011
PTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);PAREJA_AC;038
SDN_MCF_<55_0_0;Iberian (VIIIc-IX);REDANESA_CN;008
TBB_MOL_<55_0_0;Iberian (VIIIc-IX);BOU_CN;008
LLS_DEF_0_0_0;Bay of Biscay (VIIIabde);PALANGRE_AC;038
LLS_DEF_0_0_0;Western Scotland (VI);PALANGRE_AC;001
FPO_CRU_0_0_0;Iberian (VIIIc-IX);NASA_NECORA;010
FPO_FIF_0_0_0;Iberian (VIIIc-IX);NASA_PECES;009
FPO_FIF_0_0_0;Iberian (VIIIc-IX);NASA_PECES;010
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;009
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;010
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;009
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;010
GNS_DEF_>=100_0_0;Iberian (VIIIc-IX);RASCO_CN;009
GNS_DEF_>=100_0_0;Iberian (VIIIc-IX);RASCO_CN;010
LHM_CEP_0_0_0;Iberian (VIIIc-IX);LIN_CALAMAR;009
LHM_CEP_0_0_0;Iberian (VIIIc-IX);LIN_CALAMAR;010
LHM_DEF_0_0_0;Iberian (VIIIc-IX);LIN_MERLUZA;009
LHM_DEF_0_0_0;Iberian (VIIIc-IX);LIN_MERLUZA;010
DRB_MOL_0_0_0;Iberian (VIIIc-IX);DRAGA_CN;009
DRB_MOL_0_0_0;Iberian (VIIIc-IX);DRAGA_CN;010
LHM_SPF_0_0_0;Iberian (VIIIc-IX);LIN_CABALLA;009
FPO_CRU_0_0_0;Iberian (VIIIc-IX);NASA_NECORA;009
LHM_SPF_0_0_0;Iberian (VIIIc-IX);LIN_CABALLA;010
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;009
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;010
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;009
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;010
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;009
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;010
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;009
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;010
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;009
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;010
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;009
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;008
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;010
SDN_MCF_<55_0_0;Iberian (VIIIc-IX);REDANESA_CN;009
SDN_MCF_<55_0_0;Iberian (VIIIc-IX);REDANESA_CN;010
TBB_MOL_<55_0_0;Iberian (VIIIc-IX);BOU_CN;009
TBB_MOL_<55_0_0;Iberian (VIIIc-IX);BOU_CN;010
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;009
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;010
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;033
OTB_DEF_100-119_0_0;Western Ireland (VIIbcjk);MERLUCER_AC;034
LLS_DEF_0_0_0;Celtic Sea (VIIfgh);PALANGRE_AC;032
LLS_DEF_0_0_0;Celtic Sea (VIIfgh);PALANGRE_AC;033
OTB_DEF_70-99_0_0;Western Scotland (VI);RAPANTER_AC;026
OTB_DEF_70-99_0_0;Celtic Sea (VIIfgh);RAPANTER_AC;032
OTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);BACA_AC;014
OTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);BACA_AC;015
LLS_DEF_0_0_0;Bay of Biscay (VIIIabde);PALANGRE_AC;014
LLS_DEF_0_0_0;Bay of Biscay (VIIIabde);PALANGRE_AC;015
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_AP;010
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_AP;012
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;003
PS_SPF_0_0_0;Bay of Biscay (VIIIabde);CERCO_CN;015
PS_SPF_0_0_0;Bay of Biscay (VIIIabde);CERCO_CN;038
PS_SPF_0_0_0;Bay of Biscay (VIIIabde);CERCO_CN;004
OTB_MPD_>=55_0_0;Bay of Biscay (VIIIabde);JURELERA_CN;006
OTB_MPD_>=55_0_0;Bay of Biscay (VIIIabde);JURELERA_CN;015
LHM_SPF_0_0_0;Iberian (VIIIc-IX);LIN_CABALLA;003
LLS_DEF_0_0_0;Bay of Biscay (VIIIabde);PALANGRE_CN;004
OTB_DEF_100-119_0_0;Western Scotland (VI);MERLUCER_AC;026
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;003
PTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);PAREJA_AC;015
PTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);PAREJA_AC;014
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_AP;058
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;058
OTB_MCD_>=55_0_0;Iberian (VIIIc-IX);BACA_AP;066
OTB_DEF_>=55_0_0;Bay of Biscay (VIIIabde);BACA_CN;015
GNS_DEF_60-79_0_0;Bay of Biscay (VIIIabde);BETA_CN;015
GNS_DEF_120-219_0_0;Bay of Biscay (VIIIabde);ENMALLE_AC;006
GNS_DEF_>=100_0_0;Bay of Biscay (VIIIabde);ENMALLE_AC;014
GNS_DEF_>=100_0_0;Bay of Biscay (VIIIabde);ENMALLE_AC;015
LHM_DEF_0_0_0;Bay of Biscay (VIIIabde);LIN_MERLUZA;015
OTB_DEF_100-119_0_0;Bay of Biscay (VIIIabde);MERLUCER_AC;015
LLS_DEF_0_0_0;Bay of Biscay (VIIIabde);PALANGRE_AC;006
LLS_DEF_0_0_0;Western Scotland (VI);PALANGRE_AC;026
LLS_DEF_0_0_0;Celtic Sea (VIIfgh);PALANGRE_AC;034
LLS_DEF_0_0_0;Bay of Biscay (VIIIabde);PALANGRE_CN;015
PTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);PAREJA_AC;006
GTR_DEF_60-79_0_0;Bay of Biscay (VIIIabde);TRASMALL_CN;015
PTB_MPD_>=55_0_0;Bay of Biscay (VIIIabde);PAREJA_CN;015
OTB_DEF_70-99_0_0;Western Scotland (VI);RAPANTER_AC;019
GNS_DEF_>=100_0_0;Bay of Biscay (VIIIabde);RASCO_CN;015
PS_SPF_0_0_0;Bay of Biscay (VIIIabde);CERCO_CN;006
PS_SPF_0_0_0;Bay of Biscay (VIIIabde);CERCO_CN;014
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_APN;012
OTB_MCD_>=55_0_0;Iberian (VIIIc-IX);BACA_APS;012
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;003
OTB_DEF_>=70_0_0;Bay of Biscay (VIIIabde);BACA_AC;006
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;003
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;044
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;045
LHM_CEP_0_0_0;Iberian (VIIIc-IX);LIN_CALAMAR;003
LHM_DEF_0_0_0;Iberian (VIIIc-IX);LIN_MERLUZA;003
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;003
GNS_DEF_>=100_0_0;Iberian (VIIIc-IX);RASCO_CN;003
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;003
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;003
OTB_MCF_>=70_0_0;Bay of Biscay (VIIIabde);OTB_MCF>70;038
OTB_MPD_>=70_0_0;Bay of Biscay (VIIIabde);OTB_MPD>70;038
OTB_MCF_>=70_0_0;Bay of Biscay (VIIIabde);OTB_MCF>70;014
OTB_MCF_>=70_0_0;Bay of Biscay (VIIIabde);OTB_MCF>70;015
OTB_MPD_>=70_0_0;Bay of Biscay (VIIIabde);OTB_MPD>70;014
OTB_MPD_>=70_0_0;Bay of Biscay (VIIIabde);OTB_MPD>70;015
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;005
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_APN;005
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;005
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;005
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;045
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;045
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;045
LHM_SPF_0_0_0;Iberian (VIIIc-IX);LIN_CABALLA;045
LHM_CEP_0_0_0;Iberian (VIIIc-IX);LIN_CALAMAR;045
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;045
GNS_DEF_>=100_0_0;Iberian (VIIIc-IX);RASCO_CN;045
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;045
GNS_DEF_60-79_0_0;Iberian (VIIIc-IX);BETA_CN;044
LHM_SPF_0_0_0;Iberian (VIIIc-IX);LIN_CABALLA;044
LHM_CEP_0_0_0;Iberian (VIIIc-IX);LIN_CALAMAR;044
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;044
GNS_DEF_>=100_0_0;Iberian (VIIIc-IX);RASCO_CN;044
GNS_DEF_80-99_0_0;Iberian (VIIIc-IX);VOLANTA_CN;044
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;044
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;044
OTB_DEF_100-119_0_0;Western Scotland (VI);ARRAS6_AZTI;001
OTB_DEF_100-119_0_0;Western Scotland (VI);ARRAS6_AZTI;019
OTB_DEF_100-119_0_0;Western Scotland (VI);ARRAS6_AZTI;026
OTB_SPF_>=70_0_0;Bay of Biscay (VIIIabde);OTB_SPF>70;038
DRB_MOL_0_0_0;Iberian (VIIIc-IX);DRAGA_CN;045
LHM_SPF_0_0_0;Bay of Biscay (VIIIabde);LIN_CABALLA;038
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;044
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;045
LHM_DEF_0_0_0;Iberian (VIIIc-IX);LIN_MERLUZA;044
LHM_DEF_0_0_0;Iberian (VIIIc-IX);LIN_MERLUZA;045
FPO_CRU_0_0_0;Iberian (VIIIc-IX);NASA_NECORA;044
FPO_CRU_0_0_0;Iberian (VIIIc-IX);NASA_NECORA;045
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;044
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;045
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;044
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;045
DRB_MOL_0_0_0;Iberian (VIIIc-IX);DRAGA_CN;044
LHM_DWS_0_0_0;Iberian (VIIIc-IX);VORACERA_GC;129
LHM_DWS_0_0_0;Iberian (VIIIc-IX);VORACERA_GC;229
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_APN;013
OTB_MCD_>=55_0_0;Iberian (VIIIc-IX);BACA_APS;005
OTB_DEF_>=55_0_0;Iberian (VIIIc-IX);BACA_CN;013
OTB_MCD_>=55_0_0;Iberian (VIIIc-IX);BACA_GC;005
OTB_MCD_>=55_0_0;Iberian (VIIIc-IX);BACA_GC;013
TBB_MOL_<55_0_0;Iberian (VIIIc-IX);BOU_CN;003
TBB_MOL_<55_0_0;Iberian (VIIIc-IX);BOU_CN;005
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_CN;005
HMD_MOL_0_0_0;Iberian (VIIIc-IX);DRAGA_GC;005
GNS_DEF_40-59_0_0;Iberian (VIIIc-IX);ENMALLE_GC;005
OTB_MPD_>=55_0_0;Iberian (VIIIc-IX);JURELERA_CN;005
FPO_CRU_0_0_0;Iberian (VIIIc-IX);NASA_NECORA;005
FPO_FIF_0_0_0;Iberian (VIIIc-IX);NASA_PECES;003
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_CN;005
FPO_MOL_0_0_0;Iberian (VIIIc-IX);NASAPULP_GC;005
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_CN;005
LLS_DEF_0_0_0;Iberian (VIIIc-IX);PALANGRE_GC;005
PTB_MPD_>=55_0_0;Iberian (VIIIc-IX);PAREJA_CN;005
GNS_DEF_>=100_0_0;Iberian (VIIIc-IX);RASCO_CN;005
SDN_MCF_<55_0_0;Iberian (VIIIc-IX);REDANESA_CN;003
SDN_MCF_<55_0_0;Iberian (VIIIc-IX);REDANESA_CN;005
LLS_DWS_0_0_0;Iberian (VIIIc-IX);SABLE_GC;005
GTR_DEF_60-79_0_0;Iberian (VIIIc-IX);TRASMALL_CN;005
GTR_DEF_50-59_0_0;Iberian (VIIIc-IX);TRASMALL_GC;005
GND_SPF_<40_0_0;Iberian (VIIIc-IX);XEITO_CN;005
GND_SPF_<40_0_0;Iberian (VIIIc-IX);XEITO_CN;010
PS_SPF_0_0_0;Iberian (VIIIc-IX);CERCO_GC;005
MIS_MIS_0_0_0_HC;Iberian (VIIIc-IX);NO_ASIG;005
MIS_MIS_0_0_0_HC;Iberian (VIIIc-IX);NO_ASIG;003
