original_name_variable;name_variable
RESPONSABLE_MUESTREO;RESPONSABLE_MUESTREO
COD_ID;COD_ID
FECHA_MUE;FECHA_MUE
FECHA_DESEM;FECHA_DESEM
ESTRATEGIA;ESTRATEGIA
PROCEDENCIA;PROCEDENCIA
COD_PAIS;COD_PAIS
PAIS;PAIS
ESTRATO_RIM;ESTRATO_RIM
METIER_DCF;METIER_DCF
UNIDAD_PESQUERA;UNIDAD_PESQUERA
COD_PUERTO;COD_PUERTO
LOCODE;LOCODE
PUERTO;PUERTO
COD_TIPO_MUE;COD_TIPO_MUE
TIPO_MUE;TIPO_MUE
COD_BARCO;COD_BARCO
CODSGPM;COD_SGPM
BARCO;BARCO
N_BARCOS;N_BARCOS
N_RECHAZOS;N_RECHAZOS
COD_ORIGEN;COD_ORIGEN
ORIGEN;ORIGEN
COD_DIVISION;COD_DIVISION
DIVISION;DIVISION
CALADERO_DCF;CALADERO_DCF
COD_ARTE;COD_ARTE
ARTE;ARTE
CHEQUEADO;CHEQUEADO
TALL.PESO;TALL.PESO
N_CATEGORIAS;N_CATEGORIAS
COD_ESP_MUE;COD_ESP_MUE
A3_ESP_MUE;A3_ESP_MUE
ESP_MUE;ESP_MUE
COD_CATEGORIA;COD_CATEGORIA
CATEGORIA;CATEGORIA
N_ESPECIES;N_ESPECIES
N_SEXOS;N_SEXOS
P_DESEM;P_DESEM
P_VIVO;P_VIVO
COD_ESP_CAT;COD_ESP_CAT
A3_ESP_CAT;A3_ESP_CAT
ESP_CAT;ESP_CAT
SEXO;SEXO
P_MUE_DESEM;P_MUE_DESEM
P_MUE_VIVO;P_MUE_VIVO
INICIAL;INICIAL
FINAL;FINAL
TALLA;TALLA
EJEM_MEDIDOS;EJEM_MEDIDOS
EJEM_PONDERADOS;EJEM_PONDERADOS
SOP;SOP
VALIDADO;VALIDADO
OBSERVACIONES;OBSERVACIONES
METIER_IEO;METIER_IEO
Año;YEAR
Ano;YEAR
T;TRIMESTRE
Marea;COD_MAREA
Lance;COD_LANCE
Fecha.Ini;FECHA_INI_MAREA
Fecha.Fin;FECHA_FIN_MAREA
Cod.Puerto.Base;COD_PUERTO_BASE
Puerto.Base;PUERTO_BASE
cod.Puerto.Llegada;COD_PUERTO_LLEGADA
Puerto.Llegada;PUERTO_LLEGADA
Cod.Puerto.Descarga;COD_PUERTO_DESCARGA
Puerto.Descarga;PUERTO_DESCARGA
C.ICES;CUADRICULA_ICES
Cod.Origen;COD_ORIGEN
Origen;ORIGEN
Cod.Metier;ESTRATO_RIM
Metier;DES_ESTRATO_RIM
Metier.ICES;METIER_IEO
Nombre.Observ.;NOMBRE_OBS
Apellidos.Observ.;APELLIDOS_OBS
Cod.Barco;COD_BARCO
Barco;BARCO
CV;CV
TRB;TRB
Eslora.T.;ESLORA
Días.mar;DIAS_MAR
Días.Pesca;DIAS_PESCA
Tot.Lances;N_LANCES
L.Muestreados;N_LANCES_MUE
L..no.Muestreados;N_LANCES_NO_MUE
Descartes.muestreados;N_DESCARTES_MUE
L.con.incidencias;N_LANCES_INCIDENCIAS
Observaciones;OBSERVACIONES
Cod.Arte;COD_ARTE
Arte;ARTE
Tamaño.Malla;TAMANO_MALLA
TamañoMalla;TAMANO_MALLA
SobreCopo;SOBRECOPO
Abert.Ver;ABERTURA_VER
Abert.Hor;ABERTURA_HOR
Caras;CARAS
Velocidad;VELOCIDAD
Luz;LUZ
Valido;VALIDO
Muestreado;MUESTREADO
Descarte.muestreado;DESCARTE_MUESTREADO
Dia;DIA
Mes;MES
Observador;OBSERVADOR
Rumbo;RUMBO
Cable;CABLE
Vel.Viento;VEL_VIENTO
E.Mar;ESTADO_MAR
Tª.Superficie;TEMP_SUPERFICIE
CodEspObj;COD_ESP_OBJ
Esp.Objetivo;ESP_OBJ
Luna;LUNA
Hora.Largada;HORA_LAR
Hora.Virada;HORA_VIR
Lat.Lar;LAT_LAR
Lat.Vir;LAT_VIR
Lon.Lar;LON_LAR
Lon.Vir;LON_VIR
Lat.Lar.1;LAT_LAR_CGS
Lat.Vir.1;LAT_VIR_CGS
Lon.Lar.1;LON_LAR_CGS
Lon.Vir.1;LON_VIR_CGS
Profundidad.Largada;PROF_LAR
Profundidad..Virada;PROF_VIR
Duracion.lance;DURACION_LANCE
Prof.Media;PROF_MEDIA
Peso.Tot.Descarte;P_TOT_DESCAR
Peso.subMuestra.Descarte;P_SUB_DESCAR
Peso.Muestra.Descarte;P_MUE_DESCAR
Cod.Especie;COD_ESP
Especie;ESP
alfa3;A3_ESP
Alfa3;A3_ESP
nombre.Común;NOMBRE_COMUN
nombre.Ingles;NOMBRE_INGLES
Nombre.Común;NOMBRE_COMUN
Nombre.Inglés;NOMBRE_INGLES
Categoría;CATEGORIA
Peso.Capturado..Kg.;P_CAP
Peso.Capturado.Kg.;P_CAP
Peso.Retenido..Kg.;P_RET
Peso.Retnido.Kg.;P_RET
Peso.Retenido.Kg.;P_RET
Peso.Descartado.Kg.;P_DESCAR
Peso.Muestra.Retenida.kg.;P_MUE_RET
Peso.Muestra.Descarte.kg.;P_MUE_DESCAR
Peso.Submuestra.Descarte.kg.;P_SUB_MUE_DESCAR
Ejem.Retenidos;EJEM_RET
Ejem..Descartados;EJEM_DESCAR
Coddes;COD_DESCAR
Razón.Descarte;RAZON_DESCAR
Peso.SubMuestraTot;P_SUB_MUE_TOT
Fecha;FECHA_MUE
Tipo.Captura;TIPO_CAPTURA
Sexo;SEXO
Talla;TALLA
Ejemplares.medidos;EJEM_MEDIDOS
Ejemplares.muestra.Descarte.;EJEM_MUESTREADOS
Ejemplares.ponderados;EJEM_PONDERADOS
Peso.muestra.retenida;P_MUE_RET
SubMuestraTot;P_SUB_MUE_TOT
Peso.Muestra.Tot.Descarte.Kg.;P_MUE_TOT_DESCAR
Fecha.Largada;FECHA_LAR
Fecha.virada;FECHA_VIR
Peso.muestra;P_MUE_RET
Alafa3;A3_ESP
COD_MAREA;COD_MAREA
COD_LANCE;COD_LANCE
COD_BASURA;COD_BASURA
BASURA;BASURA
CANTIDAD;CANTIDAD
COD_MEDIDA;COD_MEDIDA
MEDIDA;MEDIDA
VIRADO_VACIADO;VIRADO_VACIADO
SOLO_MUESTRA;SOLO_MUESTRA
PORCENTAJE_OBSERVADO;PORCENTAJE_OBSERVADO
COD_ESP;COD_ESP
A3_ESP;A3_ESP
ESP;ESP
PESO;PESO
N_EJEM;N_EJEM
Peso.Desemb.Oblig..kg.;P_DESEM_OBL
Peso.Desemb.Oblig..Kg.;P_DESEM_OBL
Peso.Minimis.kg.;P_MINIMIS
Peso.Minimis.Kg.;P_MINIMIS
Peso.Muestra.Desemb.Oblig..Kg.;P_MUE_DESEM_OBL
Peso.Muestra.Desemb.Oblig..kg.;P_MUE_DESEM_OBL
Peso.Muestra.Desemb..Oblig..Kg.;P_MUE_DESEM_OBL
Peso.Muestra.Minimis.kg.;P_MUE_MINIMIS
Peso.Muestra.Minimis.Kg.;P_MUE_MINIMIS
Ejem..Desemb.Oblig.;EJEM_DESEM_OBL
Ejem.Desemb.Oblig.;EJEM_DESEM_OBL
Ejem..Minimis;EJEM_MINIMIS
Ejem.Minimis;EJEM_MINIMIS
Chequeado;CHEQUEADO
Pinger;PINGER
Peso.Sobrecopo.Kg.;P_SOBRECOPO
Peso.Muestra.Sobrecopo.kg.;P_MUE_SOBRECOPO
Ejem..Sobrecopo;EJEM_SOBRECOPO
Hora.inicio;HORA_INI_MAREA
Hora.fin;HORA_FIN_MAREA
Fecha.embarque;FECHA_EMB
Fecha.desembarque;FECHA_DESEM
Ejemplares muestra.Descarte.;EJEM_MUESTREADOS
Error;ERROR
Cod.Rechazo;COD_RECHAZO
Rechazo;RECHAZO
Fecha.rechazo;FECHA_RECHAZO
Cod.Puerto.Salida;COD_PUERTO_SALIDA
Puerto.Salida;PUERTO_SALIDA
Cod.SGPM;COD_SGPM